18:56:22.176 |I| Launcher                       | :1                             | Checking if build hasn't expired.
18:56:22.188 |I| Launcher                       | :1                             | Starting RiderFlow frontend
18:56:22.195 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
18:56:22.198 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
18:56:22.204 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
18:56:22.205 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 53048
18:56:22.206 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:21 | ServerSocket-UnityServer : accepting, port: 53048
18:56:25.040 |I| Launcher                       | :1                             | Creating Root ScriptableObject
18:56:25.042 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in C:\Users\Jakov\AppData\Roaming\RiderFlow. Trying to extract use guid...
18:56:25.043 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
18:56:25.043 |I| Launcher                       | :1                             | Subscribing for events
18:56:25.062 |I| Launcher                       | :1                             | Start running backend
18:56:25.254 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
18:56:25.258 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
18:56:26.115 |V| Launcher                       | :1                             | Ready!
18:56:42.368 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:21 | ServerSocket-UnityServer : accepted
18:56:42.368 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:21 | ServerSocket-UnityServer : connected
18:56:42.370 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:21 | RESUME :: state=AsyncProcessing
