11:50:07.513 |I| Launcher                       | :1                             | Checking if build hasn't expired.
11:50:07.524 |I| Launcher                       | :1                             | Starting RiderFlow frontend
11:50:07.533 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
11:50:07.535 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
11:50:07.542 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
11:50:07.543 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 50450
11:50:07.544 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:17 | ServerSocket-UnityServer : accepting, port: 50450
11:50:10.778 |I| Launcher                       | :1                             | Creating Root ScriptableObject
11:50:10.781 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in C:\Users\Jakov\AppData\Roaming\RiderFlow. Trying to extract use guid...
11:50:10.787 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
11:50:10.788 |I| Launcher                       | :1                             | Subscribing for events
11:50:10.805 |I| Launcher                       | :1                             | Start running backend
11:50:11.001 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
11:50:11.004 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
11:50:11.846 |V| Launcher                       | :1                             | Ready!
11:50:19.909 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:17 | ServerSocket-UnityServer : accepted
11:50:19.909 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:17 | ServerSocket-UnityServer : connected
11:50:19.911 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:17 | RESUME :: state=AsyncProcessing
