18:40:26.197 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 2292
18:40:26.198 |I| Core                           | RequestBuilder thread:8        | MsBuild location = C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe
18:40:26.198 |I| Core                           | RequestBuilder thread:8        | ServerGC = False
18:40:26.198 |I| Core                           | RequestBuilder thread:8        | 
18:40:26.198 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
18:40:26.200 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.5
18:40:26.201 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 50544
18:40:26.217 |I| Core                           | RequestBuilder thread:8        | Create protocol...
18:40:26.256 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
18:40:26.281 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
18:40:26.281 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
18:40:26.283 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
18:40:26.286 |I| ProcessWatchdog                | WatchParentPid:4548:12         | Monitoring parent process PID:4548
18:40:26.390 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
18:40:26.395 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
18:40:26.445 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 2 project(s) in 6 node(s)...
18:40:26.446 |I| ProjectModel                   | RequestBuilder thread:8        | Reason: WarmStartup
18:40:26.449 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | Build started.
18:40:26.453 |I| BuildQueue                     | RequestBuilder thread:8        | Build queue: False
18:40:26.609 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:40:26.612 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp.csproj
18:40:26.613 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp.csproj' with 1 target frameworks
18:40:26.616 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:40:26.619 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2022.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
18:40:26.619 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2022.2.csproj
18:40:26.619 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2022.2.csproj' with 1 target frameworks
18:40:26.620 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
18:40:26.912 |I| Build                          | :4                             | Finish build part [1/1] for project 'Assembly-CSharp.csproj': Success
18:40:26.912 |I| Build                          | :4                             | Finish build project 'Assembly-CSharp.csproj': Success
18:40:27.102 |I| Build                          | :16                            | Finish build part [1/1] for project 'JetBrains.Frontend.2022.2.csproj': Success
18:40:27.103 |I| Build                          | :16                            | Finish build project 'JetBrains.Frontend.2022.2.csproj': Success
18:40:27.567 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | Build succeeded.
18:40:27.568 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading has finished, statistic: 
	Total: 1.12 sec
	Binding: 0.04 sec
	Evaluation: 0.22 sec
20:44:36.459 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' was terminated
20:44:36.460 |I| Core                           | RequestBuilder thread:8        | Connection lost, kill msbuild
