16:36:51.253 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 20508
16:36:51.254 |I| Core                           | RequestBuilder thread:8        | MsBuild location = C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe
16:36:51.255 |I| Core                           | RequestBuilder thread:8        | ServerGC = False
16:36:51.255 |I| Core                           | RequestBuilder thread:8        | 
16:36:51.255 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
16:36:51.256 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.5
16:36:51.257 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 53075
16:36:51.273 |I| Core                           | RequestBuilder thread:8        | Create protocol...
16:36:51.310 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
16:36:51.337 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
16:36:51.338 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
16:36:51.340 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
16:36:51.342 |I| ProcessWatchdog                | WatchParentPid:21468:12        | Monitoring parent process PID:21468
16:36:51.432 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
16:36:51.435 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
16:36:51.485 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 2 project(s) in 6 node(s)...
16:36:51.486 |I| ProjectModel                   | RequestBuilder thread:8        | Reason: WarmStartup
16:36:51.489 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | Build started.
16:36:51.493 |I| BuildQueue                     | RequestBuilder thread:8        | Build queue: False
16:36:51.656 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2022.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
16:36:51.659 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2022.2.csproj
16:36:51.661 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2022.2.csproj' with 1 target frameworks
16:36:51.664 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
16:36:51.666 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
16:36:51.666 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp.csproj
16:36:51.666 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp.csproj' with 1 target frameworks
16:36:51.668 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
16:36:51.983 |I| Build                          | :17                            | Finish build part [1/1] for project 'JetBrains.Frontend.2022.2.csproj': Success
16:36:51.983 |I| Build                          | :17                            | Finish build project 'JetBrains.Frontend.2022.2.csproj': Success
16:36:52.124 |I| Build                          | :7                             | Finish build part [1/1] for project 'Assembly-CSharp.csproj': Success
16:36:52.124 |I| Build                          | :7                             | Finish build project 'Assembly-CSharp.csproj': Success
16:36:52.620 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | Build succeeded.
16:36:52.621 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading has finished, statistic: 
	Total: 1.13 sec
	Binding: 0.05 sec
	Evaluation: 0.23 sec
20:56:26.374 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' was terminated
20:56:26.376 |I| Core                           | RequestBuilder thread:8        | Connection lost, kill msbuild
