16:18:09.097 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 10364
16:18:09.098 |I| Core                           | RequestBuilder thread:8        | MsBuild location = C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe
16:18:09.098 |I| Core                           | RequestBuilder thread:8        | ServerGC = False
16:18:09.098 |I| Core                           | RequestBuilder thread:8        | 
16:18:09.098 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
16:18:09.099 |I| Core                           | RequestBuilder thread:8        | Detected version: 17.5
16:18:09.100 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 50747
16:18:09.116 |I| Core                           | RequestBuilder thread:8        | Create protocol...
16:18:09.155 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
16:18:09.179 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
16:18:09.180 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
16:18:09.182 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
16:18:09.186 |I| ProcessWatchdog                | WatchParentPid:3980:12         | Monitoring parent process PID:3980
16:18:09.263 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
16:18:09.267 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
16:18:09.320 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 2 project(s) in 6 node(s)...
16:18:09.321 |I| ProjectModel                   | RequestBuilder thread:8        | Reason: WarmStartup
16:18:09.324 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | Build started.
16:18:09.327 |I| BuildQueue                     | RequestBuilder thread:8        | Build queue: False
16:18:09.487 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'Assembly-CSharp.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
16:18:09.489 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: Assembly-CSharp.csproj
16:18:09.491 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp.csproj' with 1 target frameworks
16:18:09.494 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
16:18:09.496 |I| ProjectModel                   | RequestBuilder thread:8        | Project 'JetBrains.Frontend.2022.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
16:18:09.496 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: JetBrains.Frontend.2022.2.csproj
16:18:09.496 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2022.2.csproj' with 1 target frameworks
16:18:09.498 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
16:18:09.784 |I| Build                          | :7                             | Finish build part [1/1] for project 'Assembly-CSharp.csproj': Success
16:18:09.785 |I| Build                          | :7                             | Finish build project 'Assembly-CSharp.csproj': Success
16:18:09.961 |I| Build                          | :5                             | Finish build part [1/1] for project 'JetBrains.Frontend.2022.2.csproj': Success
16:18:09.961 |I| Build                          | :5                             | Finish build project 'JetBrains.Frontend.2022.2.csproj': Success
16:18:10.389 |I| Build                          | MSBuild LoggingService events queue pump: 30619839:14 | Build succeeded.
16:18:10.390 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading has finished, statistic: 
	Total: 1.06 sec
	Binding: 0.04 sec
	Evaluation: 0.23 sec
19:09:34.104 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' was terminated
19:09:34.106 |I| Core                           | RequestBuilder thread:8        | Connection lost, kill msbuild
